id,price
100000,6736722
100001,4155922
100002,3724306
100003,4140556
100004,6080252
100005,5182976
100006,3266122
100007,644556
100008,2670185
100009,2133197
100010,6516086
100011,3695958
100012,6984446
100013,1115802
100014,4594435
100015,5406588
100016,7363972
100017,2583369
100018,4392491
100019,7270878
100020,5203025
100021,3983771
100022,6108499
100023,5343390
100024,4220360
100025,4619879
100026,4139467
100027,5205839
100028,5106153
100029,2921769
100030,4320785
100031,7714766
100032,3651693
100033,5179128
100034,4438252
100035,4578984
100036,2931235
100037,3470449
100038,6799330
100039,4730725
100040,10822924
100041,3592669
100042,4812847
100043,4375277
100044,2856730
100045,3144402
100046,2200613
100047,3612226
100048,10246512
100049,3436330
100050,1326597
100051,3940723
100052,9095978
100053,5520268
100054,2919824
100055,7731339
100056,5340778
100057,4467250
100058,8987901
100059,5087171
100060,4058841
100061,13072516
100062,4241315
100063,3860023
100064,1697440
100065,1931687
100066,5502972
100067,5216476
100068,2221824
100069,3105285
100070,9544488
100071,7323663
100072,2516530
100073,4574126
100074,1818679
100075,2708712
100076,6762698
100077,1411796
100078,4470679
100079,1484086
100080,3352120
100081,972335
100082,6908177
100083,8414771
100084,4258425
100085,2932798
100086,3947223
100087,2657692
100088,9207266
100089,3377141
100090,5176341
100091,8210733
100092,4451350
100093,9582037
100094,10218393
100095,3644984
100096,6384943
100097,5274462
100098,7206318
100099,8523421
100100,2617633
100101,2553880
100102,5470400
100103,7703702
100104,7847010
100105,3098376
100106,5964258
100107,3371720
100108,9687339
100109,4118847
100110,2370668
100111,3376632
100112,3999505
100113,2171925
100114,4823254
100115,1139438
100116,3470220
100117,5296505
100118,4105458
100119,11580344
100120,2874211
100121,1044161
100122,28800366
100123,1694331
100124,8890654
100125,3802637
100126,9080053
100127,4034099
100128,3316874
100129,1177346
100130,14162026
100131,6823945
100132,12975506
100133,4005966
100134,5771402
100135,5241743
100136,6510217
100137,5507442
100138,2329304
100139,3395728
100140,10004468
100141,18561189
100142,2443683
100143,4274152
100144,1695946
100145,2279768
100146,4088399
100147,3362843
100148,7094788
100149,7848858
100150,4808876
100151,3171992
100152,2196556
100153,6033037
100154,2135072
100155,1537073
100156,5168304
100157,3789123
100158,4272161
100159,9679652
100160,4623923
100161,8072929
100162,2348353
100163,16585876
100164,10255344
100165,11653985
100166,4373416
100167,5420454
100168,1701497
100169,4860183
100170,2538964
100171,1267455
100172,3100529
100173,3044555
100174,3391908
100175,6310800
100176,444991
100177,24438133
100178,7808681
100179,3452101
100180,3434343
100181,8882450
100182,2734776
100183,2079953
100184,6052557
100185,4661724
100186,3212254
100187,2644072
100188,1309392
100189,3020830
100190,17689044
100191,2530441
100192,7363014
100193,8872668
100194,4621347
100195,1020371
100196,7770446
100197,3253353
100198,1694798
100199,2971711
100200,1723171
100201,7185206
100202,5080479
100203,4265053
100204,6099312
100205,2431539
100206,28137799
100207,5360200
100208,4707787
100209,3517558
100210,3461392
100211,6528247
100212,3203832
