ID,TARGET
0,1
1,1
2,1
3,2
4,1
5,0
6,2
7,1
8,2
9,0
10,1
11,2
12,2
13,0
14,1
15,0
16,1
17,1
18,1
19,0
20,2
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,2
30,0
31,0
32,0
33,2
34,0
35,1
36,0
37,1
38,1
39,1
40,0
41,2
42,1
43,0
44,2
45,1
46,0
47,1
48,1
49,0
50,1
51,2
52,1
53,0
54,1
55,1
56,2
57,1
58,1
59,1
60,0
61,0
62,0
63,0
64,2
65,2
66,1
67,2
68,1
69,1
70,1
71,1
72,0
73,2
74,2
75,1
76,2
77,2
78,0
79,0
80,1
81,2
82,0
83,0
84,0
85,2
86,2
87,2
88,1
89,0
90,2
91,2
92,2
93,2
94,2
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,2
127,2
128,1
129,0
130,1
131,1
132,0
133,2
134,1
135,1
136,2
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,2
153,0
154,1
155,2
156,2
157,2
158,0
159,1
160,2
161,2
162,2
163,0
164,2
165,2
166,0
167,2
168,1
169,0
170,0
171,2
172,1
173,1
174,2
175,0
176,1
177,1
178,1
179,2
180,2
181,1
182,0
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,2
191,0
192,0
193,2
194,2
195,1
196,1
197,2
198,1
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,2
214,0
215,0
216,2
217,1
218,0
219,2
220,1
221,0
222,2
223,2
224,0
225,0
226,2
227,0
228,2
229,2
230,2
231,2
232,2
233,2
234,0
235,0
236,0
237,2
238,2
239,1
240,2
241,0
242,2
243,0
244,2
245,0
246,2
247,1
248,2
249,2
250,0
251,2
252,0
253,1
254,2
255,0
256,1
257,0
258,2
259,1
260,1
261,2
262,1
263,2
264,0
265,2
266,0
267,0
268,2
269,2
270,2
271,2
272,2
273,0
274,2
275,0
276,2
277,1
278,2
279,1
280,1
281,1
282,0
283,1
284,1
285,2
286,1
287,1
288,1
289,2
290,2
291,1
292,2
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,2
307,1
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,2
332,2
333,1
334,2
335,1
336,2
337,2
338,2
339,0
340,2
341,2
342,2
343,1
344,1
345,1
346,0
347,1
348,2
349,0
350,1
351,2
352,0
353,2
354,1
355,2
356,2
357,2
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,1
377,2
378,0
379,0
380,2
381,0
382,2
383,0
384,2
385,2
386,1
387,2
388,2
389,2
390,1
391,2
392,2
393,2
394,2
395,0
396,2
397,2
398,2
399,1
400,0
401,2
402,0
403,0
404,0
405,1
406,0
407,1
408,2
409,0
410,1
411,1
412,1
413,0
414,1
415,0
416,2
417,0
418,0
419,0
420,1
421,0
422,1
423,2
424,1
425,1
426,2
427,1
428,2
429,2
430,1
431,1
432,2
433,0
434,1
435,0
436,0
437,0
438,2
439,1
440,1
441,1
442,1
443,2
444,0
445,2
446,2
447,0
448,2
449,2
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,1
458,1
459,0
460,2
461,2
462,1
463,1
464,2
465,2
466,1
467,1
468,2
469,0
470,0
471,1
472,0
473,2
474,0
475,1
476,1
477,0
478,0
479,1
480,0
481,0
482,1
483,2
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,2
493,0
494,0
495,1
496,0
497,0
498,1
499,2
500,0
501,0
502,2
503,2
504,2
505,1
506,0
507,2
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,1
516,2
517,0
518,1
519,1
520,1
521,0
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,2
535,1
536,1
537,2
538,0
539,0
540,2
541,2
542,2
543,1
544,1
545,0
546,1
547,1
548,0
549,0
550,0
551,0
552,0
553,1
554,1
555,0
556,1
557,2
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,0
573,0
574,0
575,2
576,2
577,0
578,1
579,0
580,1
581,1
582,2
583,2
584,2
585,1
586,1
587,1
588,1
589,1
590,1
591,0
592,2
593,1
594,2
595,1
596,1
597,1
598,2
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,2
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,2
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,1
624,0
625,1
626,0
627,1
628,0
629,1
630,1
631,1
632,1
633,0
634,0
635,1
636,1
637,1
638,0
639,0
640,2
641,0
642,0
643,0
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,0
652,1
653,1
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,0
684,2
685,0
686,1
687,0
688,2
689,1
690,1
691,1
692,1
693,0
694,0
695,1
696,1
697,1
698,1
699,0
700,1
701,0
702,2
703,0
704,1
705,2
706,2
707,0
708,0
709,0
710,1
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,0
719,1
720,1
721,2
722,2
723,0
724,2
725,1
726,2
727,2
728,1
729,1
730,1
731,1
732,1
733,2
734,0
735,2
736,2
737,2
738,0
739,2
740,0
741,1
742,1
743,1
744,1
745,1
746,1
747,2
748,0
749,2
750,0
751,0
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,0
760,1
761,1
762,1
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,2
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,2
779,2
780,0
781,1
782,2
783,0
784,2
785,0
786,2
787,2
788,2
789,0
790,1
791,1
792,2
793,0
794,1
795,0
796,1
797,0
798,2
799,2
800,1
801,2
802,2
803,2
804,2
805,2
806,2
807,0
808,2
809,2
810,2
811,1
